inputs,outputs,faulty_output_prob,regular_diagnoser_time,backward_diagnoser_time,best_prob_diagnoser_time,regular_diagnoser_output,backward_diagnoser_output,best_prob_diagnoser_output
"[0, 0, 1, 0, 1]","[0, 0]",0.11,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]"
"[0, 0, 1, 0, 1]","[0, 0]",0.09,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.276033), ([gate19], 0.276033), ([gate11], 0.276033)]"
"[0, 0, 1, 0, 1]","[0, 0]",0.07,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.2883), ([gate19], 0.2883), ([gate11], 0.2883)]"
"[0, 0, 1, 0, 1]","[0, 0]",0.05,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.300833), ([gate19], 0.300833), ([gate11], 0.300833)]"
"[0, 0, 1, 0, 1]","[0, 0]",0.03,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.313633), ([gate19], 0.313633), ([gate11], 0.313633)]"
"[0, 0, 1, 0, 1]","[0, 0]",0.01,0.0,0.0,0.0,"[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.264033), ([gate19], 0.264033), ([gate11], 0.264033)]","[([gate23], 0.3267), ([gate19], 0.3267), ([gate11], 0.3267)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.11,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.264033)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.09,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.276033)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.07,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.2883)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.05,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.300833)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.03,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.313633)]"
"[0, 1, 0, 0, 0]","[0, 1]",0.01,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.3267)]"
"[0, 0, 1, 1, 0]","[1, 1]",0.11,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.264033)]"
